1 -81
2 -84
3 -84
1 -90
2 -90
3 -81
4 -81
5 -81
6 -80
7 -86
8 -84
9 -84
10 -81
11 -86
12 -81
13 -81
14 -78
15 -81
16 -81
17 -84
18 -81
19 -81
20 -82
21 -82
22 -82
23 -88
24 -80
25 -81
26 -79
27 -89
28 -89
29 -87
30 -80
31 -80
32 -82
33 -83
34 -85
35 -80
36 -82
37 -87
38 -80
39 -79
40 -89
41 -89
42 -86
43 -82
44 -81
45 -81
46 -81
47 -85
48 -81
49 -81
50 -80
51 -81
52 -83
53 -87
54 -80
55 -79
56 -79
57 -80
58 -85
59 -82
60 -82
61 -86
62 -87
63 -88
64 -82
65 -80
66 -80
67 -81
68 -85
69 -81
70 -81
71 -85
72 -79
73 -82
74 -85
75 -82
76 -83
77 -86
78 -81
79 -81
80 -81
81 -81
82 -84
83 -82
84 -84
85 -81
86 -83
87 -86
88 -80
89 -85
90 -80
91 -86
92 -81
93 -80
94 -82
95 -85
96 -84
97 -81
98 -84
99 -83
100 -82
